ID,XMIN,XMAX,YMIN,YMAX,PNTCNT,XCTR,YCTR
234,585879.000000000000000,586379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,586129.00000,5204534.00000
235,586379.000000000000000,586879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,586629.00000,5204534.00000
236,586879.000000000000000,587379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,587129.00000,5204534.00000
237,587379.000000000000000,587879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,587629.00000,5204534.00000
238,587879.000000000000000,588379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,588129.00000,5204534.00000
239,588379.000000000000000,588879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,588629.00000,5204534.00000
240,588879.000000000000000,589379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,589129.00000,5204534.00000
241,589379.000000000000000,589879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,589629.00000,5204534.00000
242,589879.000000000000000,590379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,590129.00000,5204534.00000
243,590379.000000000000000,590879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,590629.00000,5204534.00000
244,590879.000000000000000,591379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,591129.00000,5204534.00000
245,591379.000000000000000,591879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,591629.00000,5204534.00000
246,591879.000000000000000,592379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,592129.00000,5204534.00000
247,592379.000000000000000,592879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,592629.00000,5204534.00000
248,592879.000000000000000,593379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,593129.00000,5204534.00000
249,593379.000000000000000,593879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,593629.00000,5204534.00000
